Rank,Score,Title,Date,Views,Transcript,Category,URL,TranscriptSource
A,76.0,Entity Extraction in Pipeline Builder,2025-07-09,1910,无,,https://www.youtube.com/watch?v=5NShigykqSU,youtube
A,76.0,Deep Dive: Transforming your Data with Code Repositories,2025-09-12,2591,无,,https://www.youtube.com/watch?v=vTiczH005E4,youtube
A,76.0,Extracting a Table from a PDF Using an LLM,2026-02-04,1085,有,,https://www.youtube.com/watch?v=3bexc7vDZ-Q,youtube
A,76.0,Speedrun: Your First AIP Workflow,2025-09-12,4286,无,,https://www.youtube.com/watch?v=xBLVVhVv75U,youtube
A,76.0,Speedrun: Mining Your First Business Process,2025-04-02,2104,无,,https://www.youtube.com/watch?v=yjosDZg5hcY,youtube
A,76.0,End-to-End RAG Workflow Using Pipeline Builder and AIP Logic,2025-03-12,7036,无,,https://www.youtube.com/watch?v=wql_XPHbFkI,youtube
A,76.0,Introduction to Evaluations in AIP Logic,2025-05-14,1839,无,,https://www.youtube.com/watch?v=1F9tSbH1nic,youtube
A,70.0,Conditional Visibility in Workshop,2024-12-11,3167,无,,https://www.youtube.com/watch?v=AdhGn7UY1Ec,youtube
A,76.0,Deep Dive: Data Protection Tools in Foundry,2025-04-09,1959,无,,https://www.youtube.com/watch?v=PgB0z8t9pXM,youtube
A,76.0,Semantic Search in AIP Logic,2025-10-22,1407,有,,https://www.youtube.com/watch?v=s0Ueq_pLXcM,youtube
B,55.0,Virtual Tables in Foundry,2023-10-20,2060,无,,https://www.youtube.com/watch?v=p8hQON-pBtM,youtube
A,70.0,Intro to Data Lineage,2024-07-24,5972,无,,https://www.youtube.com/watch?v=gdU_tzcNhbo,youtube
A,76.0,Building a Choropleth Map in Foundry,2025-08-13,1296,无,,https://www.youtube.com/watch?v=mux9V-iAx_s,youtube
A,76.0,Plotting Moving Reindeer on a Map:  An Ontologize Holiday Special,2025-12-17,1635,有,,https://www.youtube.com/watch?v=I16uKEiSo8A,youtube
A,76.0,Deep Dive: Creating Your First Data Connection (update),2026-01-14,1236,有,,https://www.youtube.com/watch?v=e6dArAULLQ4,youtube
A,76.0,Publishing a Machine Learning Model from Code Workspaces,2025-04-30,1703,无,,https://www.youtube.com/watch?v=5X4i3-9EokM,youtube
A,70.0,Intro to Charts in Workshop,2024-12-18,3798,无,,https://www.youtube.com/watch?v=m15HgAYro7I,youtube
A,70.0,Intro to Code Workbooks,2024-08-23,4060,无,,https://www.youtube.com/watch?v=R-E1zPaSgQ8,youtube
A,76.0,Speedrun: Data Science Fundamentals  (update),2026-01-14,793,有,,https://www.youtube.com/watch?v=qeYFbOeDL2E,youtube
A,76.0,Halloween Edition: RAG (Retrieval Augmented Ghouling),2025-10-29,1010,有,,https://www.youtube.com/watch?v=uMXBcHMgWRU,youtube
A,76.0,Building a Dynamic Knowledge Corpus with On The Fly Embedding Computation,2025-10-01,1329,有,,https://www.youtube.com/watch?v=hid0jbNO9ck,youtube
A,76.0,Using Looping in AIP Logic for Ontology Edits,2025-06-25,1436,无,,https://www.youtube.com/watch?v=nw5BT4yb818,youtube
A,76.0,Deploying a Live Machine Learning Model in Foundry,2025-04-23,2870,无,,https://www.youtube.com/watch?v=TRIOCHJ6wdw,youtube
A,76.0,Tool Use in AIP Logic: Actions,2025-11-05,1466,有,,https://www.youtube.com/watch?v=p5VCluFpebo,youtube
A,76.0,Using Looping for Transformations in AIP Logic,2025-06-18,959,无,,https://www.youtube.com/watch?v=7Lb5Psx2FX4,youtube
A,76.0,Deep Dive  Building Your First Application (update),2026-01-14,1325,无,,https://www.youtube.com/watch?v=pVO7g75Y_zM,youtube
A,70.0,From Excel Worksheets to Scheduled Reporting,2024-10-24,2808,无,,https://www.youtube.com/watch?v=KrSqpeFb8xE,youtube
A,78.0,Build with Us | Deep Dive: Building your first application,2024-09-11,24231,无,,https://www.youtube.com/watch?v=Uh0zpMUR6wY,youtube
A,70.0,Build with Us | Speedrun: Creating Your First Data Connection,2024-10-11,8116,无,,https://www.youtube.com/watch?v=ofwAPNiDo48,youtube
A,76.0,Creating and using a Quiver Dashboard Template,2025-01-15,2910,无,,https://www.youtube.com/watch?v=IeHV4D90N2I,youtube
A,76.0,Exploring and Transforming Data with the Palantir MCP,2026-02-18,354,有,,https://www.youtube.com/watch?v=vhm-eYo2C-w,youtube
A,70.0,Build with Us | Deep Dive: Data Analysis in Contour,2024-09-05,9842,无,,https://www.youtube.com/watch?v=46wwI9MA2Cg,youtube
A,76.0,Building a Document Search App in Workshop,2025-11-13,1652,有,,https://www.youtube.com/watch?v=oE-ULq5RsFY,youtube
A,76.0,Applying Actions in AIP Logic: Tool Use versus Action Blocks,2025-07-16,1946,无,,https://www.youtube.com/watch?v=mCOvUImg2U8,youtube
A,70.0,Applied Notional Project,2024-12-04,8401,无,,https://www.youtube.com/watch?v=ZeapLGUJSMw,youtube
A,70.0,Intro to Object Explorer,2024-10-16,3331,无,,https://www.youtube.com/watch?v=YuT96FVeDuc,youtube
A,76.0,Building a RAG workflow with AIP Logic,2025-01-28,7328,无,,https://www.youtube.com/watch?v=YB4ev1hGVN0,youtube
B,55.0,Using Saved Object Sets in Workshop,2023-08-08,1973,无,,https://www.youtube.com/watch?v=E7t6ekuh_RM,youtube
A,76.0,Creating an AIP Agent in Foundry with  a Memory,2025-08-20,1917,无,,https://www.youtube.com/watch?v=Fn_tgHDhgsU,youtube
A,76.0,Image Classification in Pipeline Builder,2025-02-26,1564,无,,https://www.youtube.com/watch?v=_ujvA5b6JFc,youtube
A,76.0,Experiments in AIP Logic,2026-02-11,755,有,,https://www.youtube.com/watch?v=Ok6Ld1nGDC0,youtube
A,76.0,Parsing a User Input into Multiple Objects using AIP,2025-12-10,1309,有,,https://www.youtube.com/watch?v=3oledWyxl0g,youtube
A,78.0,Build with Us | Deep Dive: Your first Ontology,2024-09-19,27308,无,,https://www.youtube.com/watch?v=SOW0IA_I0bk,youtube
A,76.0,Tool Use in AIP Agents: Actions,2025-05-28,2124,无,,https://www.youtube.com/watch?v=729NKjWORlQ,youtube
A,76.0,Parsing JSON in Foundry using Pipeline Builder,2025-07-30,1398,无,,https://www.youtube.com/watch?v=LhRXEoAQjS0,youtube
