Rank,Score,Title,Date,Views,Transcript,Category,URL,TranscriptSource
B,53.0,Palantir CEO Alex Karp on Emancipating Industry Data,2021-04-19,70840,有,,https://www.youtube.com/watch?v=OZUzqQrfs5k,youtube
B,37.0,"Interview Series: Palantir CEO Alex Karp on Data Protection, AI, and Digital Sovereignty",2022-03-14,12554,无,其他,https://www.youtube.com/watch?v=wheVmu7NwnM,youtube
B,55.0,Network Health Management with AIP | CPKC Rail at AIPCon,2023-09-25,4434,有,,https://www.youtube.com/watch?v=e_h8CiqHJkQ,whisper
B,52.0,Palantir Using Palantir | A Conversation with CIO Jim Siders,2024-07-12,17675,有,,https://www.youtube.com/watch?v=5gCwt351nQQ,whisper
B,63.0,Palantir Foundry for Anti-Money Laundering,2021-05-24,23846,有,,https://www.youtube.com/watch?v=9o_rEwKZDF8,youtube
B,58.0,Palantir and the NHS | UK Stories,2026-01-30,6437,有,,https://www.youtube.com/watch?v=NANvLfyDQBI,youtube
B,64.0,The Future of Aircraft Maintenance | United Airlines at AIPCon 4,2024-06-11,6143,有,,https://www.youtube.com/watch?v=51OH0x8ZPYQ,whisper
B,37.0,Palantir: Remember When,2019-12-13,9614,无,其他,https://www.youtube.com/watch?v=bWRdATJIq3M,youtube
B,37.0,Palantir for Ferrari: Partners in Ultimate Performance,2023-10-24,18525,无,其他,https://www.youtube.com/watch?v=NEg68khgkZQ,youtube
B,45.0,Palantir CEO Alex Karp at the Baltic Miltech Summit 2023,2023-04-27,22634,有,,https://www.youtube.com/watch?v=A1RWYAnKuy0,whisper
B,55.0,Palantir and SOMPO | Driving Social Change,2021-10-07,18701,有,,https://www.youtube.com/watch?v=mSi_gHw0bXo,youtube
B,53.0,Palantir CEO Alex Karp on Creating AI Advantage for the West | CNBC,2023-04-13,53744,有,,https://www.youtube.com/watch?v=c21HmgqyMG4,whisper
B,55.0,AIP in Action | Palantir's Ted Mabrey at AIPCon,2023-09-20,8566,有,,https://www.youtube.com/watch?v=PWlk_f_hfcc,whisper
A,76.0,Chad & Arnav | Privacy & Security with Palantir AIP,2025-07-21,4485,有,,https://www.youtube.com/watch?v=pGBkkZFqLn4,youtube
B,45.0,Interview Series: CEO Alex Karp on Palantir in Germany,2022-02-16,49210,有,,https://www.youtube.com/watch?v=FNrOWWSbz3A,youtube
